Name,DESIG,GIS_AREA,GOV_TYPE,MANG_AUTH_SUB_LOC,Total Valid Pixel Count,Count_10,Percentage_10,Area_10_ha,Area_10_km2,Count_20,Percentage_20,Area_20_ha,Area_20_km2,Count_30,Percentage_30,Area_30_ha,Area_30_km2,Count_40,Percentage_40,Area_40_ha,Area_40_km2,Count_50,Percentage_50,Area_50_ha,Area_50_km2,Count_60,Percentage_60,Area_60_ha,Area_60_km2,Count_70,Percentage_70,Area_70_ha,Area_70_km2,Count_80,Percentage_80,Area_80_ha,Area_80_km2,Count_90,Percentage_90,Area_90_ha,Area_90_km2,Count_95,Percentage_95,Area_95_ha,Area_95_km2,Count_100,Percentage_100,Area_100_ha,Area_100_km2
Selat Muna,Game Reserve,674.629809989905,Not Reported,,7924791,259468,384.61,2594.68,25.9468,155,0.23,1.55,0.0155,51346,76.11,513.46,5.1346,1385,2.05,13.85,0.1385,22321,33.09,223.21,2.2321,9193,13.63,91.93,0.9193,0,0.0,0.0,0.0,7450043,11043.16,74500.43,745.0043,6665,9.88,66.65,0.6665,124215,184.12,1242.15,12.4215,0,0.0,0.0,0.0
Kepulauan Tukang Besi,Game Reserve,2324.06010942871,Not Reported,,22405149,96,0.04,0.96,0.0096,0,0.0,0.0,0.0,100,0.04,1.0,0.01,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,0.0,0.11,0.0011,0,0.0,0.0,0.0,22404939,9640.43,224049.39,2240.4939,3,0.0,0.03,0.0003,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Lingga Isaq,Taman Buru,862.900032525992,Federal or national ministry or agency,,10123768,9910365,11484.95,99103.65,991.0365,0,0.0,0.0,0.0,209056,242.27,2090.56,20.9056,56,0.06,0.56,0.0056,79,0.09,0.79,0.0079,594,0.69,5.94,0.0594,0,0.0,0.0,0.0,3618,4.19,36.18,0.3618,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Pulau Bengkaru,Nature Reserve,63.7080903682624,Not Reported,,745773,572726,8989.85,5727.26,57.2726,71,1.11,0.71,0.0071,168,2.64,1.68,0.0168,69,1.08,0.69,0.0069,0,0.0,0.0,0.0,308,4.83,3.08,0.0308,0,0.0,0.0,0.0,172410,2706.25,1724.1,17.241,21,0.33,0.21,0.0021,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Pulau Weh,Taman Wisata Alam,65.016317026853,Federal or national ministry or agency,,764574,146408,2251.87,1464.08,14.6408,0,0.0,0.0,0.0,25,0.38,0.25,0.0025,34,0.52,0.34,0.0034,33,0.51,0.33,0.0033,18,0.28,0.18,0.0018,0,0.0,0.0,0.0,618056,9506.17,6180.56,61.8056,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Sibolangit,Taman Wisata Alam,0.233990587286312,Federal or national ministry or agency,,2747,2742,11718.42,27.42,0.2742,0,0.0,0.0,0.0,2,8.55,0.02,0.0002,0,0.0,0.0,0.0,3,12.82,0.03,0.0003,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Sibolangit,Cagar Alam,0.946266676893621,Federal or national ministry or agency,,11078,11024,11649.99,110.24,1.1024,0,0.0,0.0,0.0,28,29.59,0.28,0.0028,0,0.0,0.0,0.0,26,27.48,0.26,0.0026,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Tinggi Raja,Cagar Alam,2.02485383707063,Federal or national ministry or agency,,23722,23309,11511.45,233.09,2.3309,0,0.0,0.0,0.0,306,151.12,3.06,0.0306,0,0.0,0.0,0.0,61,30.13,0.61,0.0061,46,22.72,0.46,0.0046,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Karang Gading dan Langkat Timur Laut,Suaka Margasatwa,134.118718356994,Federal or national ministry or agency,,1572564,254538,1897.86,2545.38,25.4538,5788,43.16,57.88,0.5788,42809,319.19,428.09,4.2809,66917,498.94,669.17,6.6917,1269,9.46,12.69,0.1269,802,5.98,8.02,0.0802,0,0.0,0.0,0.0,23810,177.53,238.1,2.381,9019,67.25,90.19,0.9019,1167612,8705.81,11676.12,116.7612,0,0.0,0.0,0.0
Batang Palupuh,Cagar Alam,0.03503643966393,Federal or national ministry or agency,,416,416,11873.35,4.16,0.0416,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Lembah Anai,Cagar Alam,2.7667483901137,Federal or national ministry or agency,,32376,32133,11613.99,321.33,3.2133,0,0.0,0.0,0.0,82,29.64,0.82,0.0082,0,0.0,0.0,0.0,159,57.47,1.59,0.0159,2,0.72,0.02,0.0002,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Mega Mendung,Taman Wisata Alam,1.1228043795045,Federal or national ministry or agency,,13121,12937,11522.04,129.37,1.2937,0,0.0,0.0,0.0,10,8.91,0.1,0.001,0,0.0,0.0,0.0,174,154.97,1.74,0.0174,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Lembah Harau,Taman Wisata Alam,40.8518544220102,Federal or national ministry or agency,,477912,475292,11634.53,4752.92,47.5292,0,0.0,0.0,0.0,2056,50.33,20.56,0.2056,32,0.78,0.32,0.0032,530,12.97,5.3,0.053,1,0.02,0.01,0.0001,0,0.0,0.0,0.0,1,0.02,0.01,0.0001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Malampah Alahan Panjang,Suaka Margasatwa,391.894853868223,Federal or national ministry or agency,,3134049,3093817,7894.51,30938.17,309.3817,0,0.0,0.0,0.0,39953,101.95,399.53,3.9953,247,0.63,2.47,0.0247,14,0.04,0.14,0.0014,18,0.05,0.18,0.0018,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Maninjau,Cagar Alam,219.000980759039,Federal or national ministry or agency,,2562116,2520544,11509.28,25205.44,252.0544,0,0.0,0.0,0.0,39739,181.46,397.39,3.9739,1595,7.28,15.95,0.1595,226,1.03,2.26,0.0226,12,0.05,0.12,0.0012,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Singgalang Tandikat,Taman Wisata Alam,98.0621697547902,Federal or national ministry or agency,,1147249,1124179,11463.94,11241.79,112.4179,0,0.0,0.0,0.0,22147,225.85,221.47,2.2147,492,5.02,4.92,0.0492,158,1.61,1.58,0.0158,7,0.07,0.07,0.0007,0,0.0,0.0,0.0,266,2.71,2.66,0.0266,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Batang Pangean I,Cagar Alam,270.87739290887,Federal or national ministry or agency,,3169227,3156535,11653.0,31565.35,315.6535,0,0.0,0.0,0.0,8157,30.11,81.57,0.8157,3710,13.7,37.1,0.371,761,2.81,7.61,0.0761,64,0.24,0.64,0.0064,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gunung Sago Malintang,Taman Wisata Alam,52.6859816299892,Federal or national ministry or agency,,616346,606603,11513.56,6066.03,60.6603,0,0.0,0.0,0.0,9235,175.28,92.35,0.9235,351,6.66,3.51,0.0351,75,1.42,0.75,0.0075,10,0.19,0.1,0.001,0,0.0,0.0,0.0,72,1.37,0.72,0.0072,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Pulau Berkeh,Cagar Alam,74.4375692431603,Federal or national ministry or agency,,871465,105203,1413.31,1052.03,10.5203,869,11.67,8.69,0.0869,18,0.24,0.18,0.0018,6482,87.08,64.82,0.6482,0,0.0,0.0,0.0,32,0.43,0.32,0.0032,0,0.0,0.0,0.0,13696,183.99,136.96,1.3696,334,4.49,3.34,0.0334,744831,10006.12,7448.31,74.4831,0,0.0,0.0,0.0
Pulau Laut,Cagar Alam,1157.6192879333,Federal or national ministry or agency,,13550199,12815965,11070.97,128159.65,1281.5965,35,0.03,0.35,0.0035,25384,21.93,253.84,2.5384,42,0.04,0.42,0.0042,1962,1.69,19.62,0.1962,15711,13.57,157.11,1.5711,0,0.0,0.0,0.0,61157,52.83,611.57,6.1157,1681,1.45,16.81,0.1681,628262,542.72,6282.62,62.8262,0,0.0,0.0,0.0
Bukit Rimbang Bukit Baling,Suaka Margasatwa,1416.46039103883,Federal or national ministry or agency,,16571036,16555089,11687.65,165550.89,1655.5089,1,0.0,0.01,0.0001,11974,8.45,119.74,1.1974,65,0.05,0.65,0.0065,1182,0.83,11.82,0.1182,1104,0.78,11.04,0.1104,0,0.0,0.0,0.0,1621,1.14,16.21,0.1621,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
