Country,Name,DESIG,GIS_AREA,GOV_TYPE,MANG_AUTH_SUB_LOC,Total Valid Pixel Count,Count_10,Percentage_10,Area_10_ha,Area_10_km2,Count_20,Percentage_20,Area_20_ha,Area_20_km2,Count_30,Percentage_30,Area_30_ha,Area_30_km2,Count_40,Percentage_40,Area_40_ha,Area_40_km2,Count_50,Percentage_50,Area_50_ha,Area_50_km2,Count_60,Percentage_60,Area_60_ha,Area_60_km2,Count_70,Percentage_70,Area_70_ha,Area_70_km2,Count_80,Percentage_80,Area_80_ha,Area_80_km2,Count_90,Percentage_90,Area_90_ha,Area_90_km2,Count_95,Percentage_95,Area_95_ha,Area_95_km2,Count_100,Percentage_100,Area_100_ha,Area_100_km2,Total_Percentage
Indonesia,Panua,Cagar Alam,365.976063062547,Federal or national ministry or agency,,4281673,4202494,98.15074621532284,42024.94,420.2494,73,0.001704941035898818,0.73,0.0073,41307,0.9647397173955133,413.07,4.1307,2037,0.047574861508573874,20.37,0.2037,79,0.0018450731758357071,0.79,0.0079,1189,0.0277695190641602,11.89,0.1189,0,0.0,0.0,0.0,3034,0.07086015209475362,30.34,0.3034,106,0.002475667805551708,1.06,0.0106,31354,0.7322838525968705,313.54,3.1354,0,0.0,0.0,0.0,99.99999999999999
Indonesia,Gunung Celering,Cagar Alam,13.4886503595426,Federal or national ministry or agency,,158784,156530,98.58046150745668,1565.3,15.653,0,0.0,0.0,0.0,2254,1.4195384925433292,22.54,0.2254,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0
Indonesia,Tanjung Puting,National Park,4115.05471772863,Federal or national ministry or agency,,28428556,14411930,50.695258668783595,144119.3,1441.193,7564679,26.60943805939352,75646.79,756.4679,2352993,8.276864290961525,23529.93,235.2993,212173,0.746337590977185,2121.73,21.2173,0,0.0,0.0,0.0,17232,0.0606151082735261,172.32,1.7232,0,0.0,0.0,0.0,2413030,8.488049832710463,24130.3,241.303,1412802,4.969657973482719,14128.02,141.2802,43717,0.15377847541746403,437.17,4.3717,0,0.0,0.0,0.0,100.0
Indonesia,Gunung Ambang,Taman Wisata Alam,25.9489476140539,Federal or national ministry or agency,,303562,293579,96.71138021227954,2935.79,29.3579,0,0.0,0.0,0.0,6998,2.305295129166365,69.98,0.6998,407,0.1340747524393699,4.07,0.0407,39,0.01284745785045559,0.39,0.0039,2143,0.7059513377827265,21.43,0.2143,0,0.0,0.0,0.0,396,0.13045111048154906,3.96,0.0396,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0
Indonesia,Meru Betiri,Taman Nasional,653.924379350814,Federal or national ministry or agency,,7732154,6127686,79.24940449970345,61276.86,612.7686,0,0.0,0.0,0.0,34850,0.4507152858052232,348.5,3.485,7971,0.10308899693410142,79.71,0.7971,3824,0.049455817874294795,38.24,0.3824,5187,0.06708350609674872,51.87,0.5187,0,0.0,0.0,0.0,1551861,20.07022881334231,15518.61,155.1861,775,0.010023080243875122,7.75,0.0775,0,0.0,0.0,0.0,0,0.0,0.0,0.0,99.99999999999999
Indonesia,Gunung Halimun - Salak,Taman Nasional,877.085392599246,Federal or national ministry or agency,,10330078,10046929,97.2589848789138,100469.29,1004.6929,25,0.00024201172537128957,0.25,0.0025,145644,1.4099022291990437,1456.44,14.5644,121028,1.1716078039294573,1210.28,12.1028,15001,0.1452167156917886,150.01,1.5001,1408,0.013630100372911028,14.08,0.1408,0,0.0,0.0,0.0,43,0.00041626016763861805,0.43,0.0043,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0
Indonesia,Manusela,Taman Nasional,1746.61324138963,Federal or national ministry or agency,,16335216,16089901,98.49824452887553,160899.01,1608.9901,0,0.0,0.0,0.0,228325,1.3977470515235304,2283.25,22.8325,0,0.0,0.0,0.0,18,0.00011019138038946043,0.18,0.0018,14257,0.08727769501180761,142.57,1.4257,0,0.0,0.0,0.0,2714,0.01661441146538864,27.14,0.2714,1,6.1217433549700235e-06,0.01,0.0001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0
Indonesia,Lorentz,Taman Nasional,23462.7647174211,Federal or national ministry or agency,,173911698,125883505,72.38357537053085,1258835.05,12588.3505,15871,0.009125895602491328,158.71,1.5871,5354615,3.0789274451221793,53546.15,535.4615,1636,0.0009407072777818546,16.36,0.1636,1740,0.0010005077404281338,17.4,0.174,488361,0.2808097474846114,4883.61,48.8361,13437,0.007726334774788984,134.37,1.3437,18001243,10.350794803924,180012.43,1800.1243,996810,0.5731701843311311,9968.1,99.681,23154480,13.313929003211733,231544.8,2315.448,0,0.0,0.0,0.0,100.0
Indonesia,Pulau Kembang,Taman Wisata Alam,0.838409432834541,Federal or national ministry or agency,,9816,8380,85.37082314588427,83.8,0.838,2,0.020374898125509373,0.02,0.0002,0,0.0,0.0,0.0,10,0.10187449062754686,0.1,0.001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1424,14.506927465362674,14.24,0.1424,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.00000000000001
Indonesia,Kayan Mentarang,Taman Nasional,12723.1420852028,Federal or national ministry or agency,,70065444,70007772,99.91768838287815,700077.72,7000.7772,3,4.281711252696836e-06,0.03,0.0003,41994,0.05993539411525031,419.94,4.1994,1489,0.002125156018421863,14.89,0.1489,80,0.00011417896673858228,0.8,0.008,2214,0.0031599029044902644,22.14,0.2214,0,0.0,0.0,0.0,11892,0.016972703405690258,118.92,1.1892,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0
Indonesia,Pulau Komolon,Suaka Margasatwa,682.937535032972,Federal or national ministry or agency,,8071511,3878416,48.05068096915187,38784.16,387.8416,471260,5.838559843380006,4712.6,47.126,54968,0.68101251426158,549.68,5.4968,14712,0.18227070495226977,147.12,1.4712,0,0.0,0.0,0.0,12346,0.152957729971501,123.46,1.2346,0,0.0,0.0,0.0,65831,0.8155969805405705,658.31,6.5831,87893,1.0889287024449326,878.93,8.7893,3486085,43.189992555297266,34860.85,348.6085,0,0.0,0.0,0.0,100.0
Indonesia,Gunung Tangkuban Parahu,Taman Wisata Alam,3.43954541836658,Federal or national ministry or agency,,40523,32906,81.20326728030994,329.06,3.2906,0,0.0,0.0,0.0,1426,3.5189892160007896,14.26,0.1426,149,0.3676924215877403,1.49,0.0149,818,2.018606717172964,8.18,0.0818,5053,12.469461787133234,50.53,0.5053,0,0.0,0.0,0.0,171,0.4219825777953261,1.71,0.0171,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0
